,postalCode,addressRegion,streetAddress,NA,bed,bath,sqft,price_per_sqrt,CND,NA,lot_size,built,on_site,NA,price,link,HOA,img,City,Region,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7,imgs_to_train
34,94103,CA,1839 15th Street #151,,3.0,2.0,1545.0,838.0,CND,,,1983.0,49,,1295000,https://www.ziprealty.com/property/1839-15TH-ST-_UNIT_151-SAN-FRANCISCO-CA-94103/10628019/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/30/443020_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/30/20/_P/443020_P01.jpg']
35,94103,CA,182 A Guerrero Street,,2.0,1.0,930.0,859.0,CND,,,1907.0,58,,799000,https://www.ziprealty.com/property/link/M-442888-CABCREIS/detail,450.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/28/442888_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/28/88/_P/442888_P01.jpg']
36,94103,CA,1097 Howard Street #306,,1.0,2.0,1249.0,901.0,CND,,,1998.0,61,,1125000,https://www.ziprealty.com/property/1097-HOWARD-ST-_UNIT_306-SAN-FRANCISCO-CA-94103/10634197/detail,582.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/28/442851_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/28/51/_P/442851_P01.jpg']
37,94103,CA,180-182 Guerrero Street,,,,4826.0,870.0,MFR,,3898.0,1907.0,68,,4200000,https://www.ziprealty.com/property/180-Guerrero-St-_UNIT_182-San-Francisco-CA-94103/87595564/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/25/442586_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/25/86/_P/442586_P01.jpg']
38,94103,CA,1367-1369 Natoma Street,,,,2555.0,440.0,MFR,,1873.0,1906.0,72,,1125000,https://www.ziprealty.com/property/1367-Natoma-St-_UNIT_1369-San-Francisco-CA-94103/87580694/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/23/442389_180.jpg,SF,Inner Mission,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[]
39,94103,CA,140 South Van Ness Avenue #721,,2.0,2.0,1160.0,809.0,CND,,,,76,,939000,https://www.ziprealty.com/property/140-S-VAN-NESS-AVE-_UNIT_721-SAN-FRANCISCO-CA-94103/10626801/detail,501.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/22/442266_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/22/66/_P/442266_P01.jpg']
40,94103,CA,765 Market Street #23ab,,4.0,5.0,3594.0,1941.0,CND,,,2001.0,85,,6975000,https://www.ziprealty.com/property/765-Market-St-_UNIT_23AB-San-Francisco-CA-94103/87541648/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/18/441850_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/18/50/_P/441850_P01.jpg']
41,94103,CA,2 Mint Plaza #202,,1.0,1.0,769.0,1134.0,CND,,,1926.0,89,,872000,https://www.ziprealty.com/property/2-Mint-Plz-_UNIT_202-San-Francisco-CA-94103/87531720/detail,689.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/16/441686_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/16/86/_P/441686_P01.jpg']
42,94103,CA,6 Mint Plaza #602a,,3.0,3.0,1805.0,1440.0,CND,,,1900.0,252,,2599000,https://www.ziprealty.com/property/6-MINT-PLZ-_UNIT_602A-SAN-FRANCISCO-CA-94103/86945624/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/67/436728_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/67/28/_P/436728_P01.jpg']
43,94103,CA,765 Market Street #22b,,1.0,1.0,821.0,1766.0,CND,,,2001.0,520,,1450000,https://www.ziprealty.com/property/765-MARKET-ST-_UNIT_22B-SAN-FRANCISCO-CA-94103/10633228/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/42/79/427948_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/42/79/48/_P/427948_P01.jpg']
44,94103,CA,765 Market Street #22a,,4.0,4.0,2757.0,1415.0,CND,,,2001.0,520,,3900000,https://www.ziprealty.com/property/765-MARKET-ST-_UNIT_22A-SAN-FRANCISCO-CA-94103/10633227/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/42/79/427947_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/42/79/47/_P/427947_P01.jpg']
45,94104,CA,333 Bush Street #3704,,2.0,2.0,1510.0,1325.0,CND,,,1987.0,19,,2000000,https://www.ziprealty.com/property/333-BUSH-ST-_UNIT_3704-SAN-FRANCISCO-CA-94104/10547819/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/16/441604_180.jpg,SF,Financial District,94104.0,San Francisco,California,CA,San Francisco,37.7915,-122.4018,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/16/04/_P/441604_P01.jpg']
46,94104,CA,690 Market Street #1601,,2.0,2.0,1382.0,1299.0,CND,,,2007.0,94,,1795000,https://www.ziprealty.com/property/690-MARKET-ST-_UNIT_1601-SAN-FRANCISCO-CA-94104/10548059/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/15/441565_180.jpg,SF,Financial District,94104.0,San Francisco,California,CA,San Francisco,37.7915,-122.4018,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/15/65/_P/441565_P01.jpg']
47,94105,CA,72 Townsend #609,,2.0,2.0,1136.0,1320.0,CND,,,2016.0,1,,1499000,https://www.ziprealty.com/property/72-TOWNSEND-ST-_UNIT_609-SAN-FRANCISCO-CA-94107/87542426/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/51/445174_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/51/74/_P/445174_P01.jpg']
48,94105,CA,425 1st Street #4402,,2.0,2.0,1309.0,1908.0,CND,,,2008.0,1,,2498000,https://www.ziprealty.com/property/425-1ST-ST-_UNIT_4402-SAN-FRANCISCO-CA-94105/10637120/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/20/442079_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/20/79/_P/442079_P01.jpg']
49,94105,CA,355 1st Street #2306,,1.0,1.0,,,CND,,,2004.0,1,,949000,https://www.ziprealty.com/property/355-1ST-ST-_UNIT_2306-SAN-FRANCISCO-CA-94105/10635350/detail,717.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445067_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/67/_P/445067_P01.jpg']
50,94105,CA,301 Mission Street #30d,,2.0,3.0,1952.0,1998.0,CND,,,2009.0,2,,3900000,https://www.ziprealty.com/property/301-Mission-St-_UNIT_30D-San-Francisco-CA-94105/87961741/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445096_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/96/_P/445096_P01.jpg']
51,94105,CA,400 Beale #1310,,1.0,1.0,669.0,1084.0,CND,,,2001.0,5,,725000,https://www.ziprealty.com/property/400-BEALE-ST-_UNIT_1310-SAN-FRANCISCO-CA-94105/10637344/detail,696.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/56/23/81562312_180.jpg,SF,Other,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/56/23/12/_P/81562312_P01.jpg']
52,94105,CA,1111 Bay Street #307,,2.0,2.0,1196.0,1086.0,CND,,,1986.0,5,,1299000,https://www.ziprealty.com/property/1111-BAY-ST-_UNIT_307-SAN-FRANCISCO-CA-94123/10549618/detail,551.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445047_180.jpg,SF,Marina,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/47/_P/445047_P01.jpg']
53,94105,CA,401 Harrison Street #34d,,2.0,2.0,1297.0,2379.0,CND,,,,5,,3085000,https://www.ziprealty.com/property/401-Harrison-St-_UNIT_34D-San-Francisco-CA-94105/87940777/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445043_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/43/_P/445043_P01.jpg']
54,94105,CA,401 Harrison Street #6b,,1.0,1.0,744.0,1051.0,CND,,,,5,,782000,https://www.ziprealty.com/property/401-Harrison-St-_UNIT_6B-San-Francisco-CA-94105/87940167/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445018_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/18/_P/445018_P01.jpg']
